raw_text,hasil_preprocessing,text_length
@VikirBaskervl Yang punya saham diperusahan tambang bukan hanya konglomerat.Dg uang 300 ribu rupiah kamu sudah bisa berinvestasi di saham ADRO. Banyak investor saham adalah kelas menengah yg menyisihkan sebagian kecil dari penghasilannya,punya saham diperusah tambang bukan konglomerat uang ribu rupiah sudah bisa berinvestas saham adro investor saham kelas menengah menyisih penghasilannya,20
kino sg. udah 500k rupiah anjir pure insanity https://t.co/sQRdUsYxIF,kino 500k rupiah anjir pure insanity,6
"ditambah indeks dolar AS yang menguat karena investor global lari ke aset aman. dari dalam: surplus neraca dagang makin tipis, permintaan dolar naik saat musim haji, dan aksi jual bersih investor asing di pasar modal. untuk jaga rupiah, pemerintah punya beberapa langkah konkret.",ditambah indeks dolar menguat investor global lari aset aman surplus neraca dagang tipis perminta dolar naik musim haji aksi jual bersih investor asing pasar modal jaga rupiah pemerintah punya langkah konkret,31
"Philippine Peso turun 6,58%, Thailand Baht 5,04%, India Rupee 4,32%, sedangkan Rupiah hanya 3,65%.
Ada beberapa lapis penyebab rupiah melemah ke Rp17.400, bukan satu hal saja. dari luar: konflik AS-Iran di Selat Hormuz bikin harga minyak dunia tembus $114 per barel,",philippine peso turun thailand baht india rupee rupiah lapis penyebab rupiah melemah rupiah bukan konflik iran selat hormuz bikin harga minyak dunia tembus barel,24
"soal rupiah yang masih di kisaran Rp17.300 sampai Rp17.400, Purbaya tegas menolak anggapan bahwa pelemahan ini karena fiskal Indonesia goyah. dia bilang hampir semua mata uang negara berkembang melemah dalam periode yang sama,",rupiah masih kisar rupiah purbaya menolak anggap pelemah fiskal indonesia goyah bilang mata uang negara berkembang melemah periode,18
Another 3 juta rupiah untuk skin guin,another juta rupiah skin guin,5
"@KangManto123 Urusin dulu tuh RUPIAH yg anjlok Wo, jangan sibuk sembodo, sembada, sembudu lu ...
..
..
..

Ngerti kagak arti swasembada itu ?",urusin rupiah anjlok sibuk_negated sembodo sembada sembudu ngert arti_negated swasembada,10
Edan ini gw bandingin sama peers nya Indonesia kita kalah telak di IHSG dan Rupiah 😭😭😭. https://t.co/r2qBwSDmhT,edan bandingin peers indonesia kalah telak ihsg rupiah sedih,9
"@ARSIPAJA emak emak noh cerita harga minyak kita naik, harga sayuran aja naik baru tadi pagi denger, ke pasar keliling keliling dia gak beli apa apa karena naik harganya",emak noh cerita harga minyak naik harga sayur naik pagi denger pasar keliling beli_negated naik harganya,16
"Kuat dari belakang kah ?? Apakah Penjelasannya Terkait Rupiah Terhadap Dollar Rp.17.400 ??
Ekonomi bisa anjlok pak !!??
Mana Ilmu nya yg Jago Memimpin ?? Cuma Omon2 Jago Nulos Buku tp Menjadi Pemimpin nggak Bisa Terapkan hal yg sama dalam Buku ?? Omon2 ??",kuat kah penjelasannya terkait rupiah dollar ekonomi bisa anjlok ilmu jago memimpin omon2 jago nulos buku pemimpin bisa_negated terap buku omon2,21
